cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
1330,50323,19177,31146,70+ years,2015
1340,81042,27739,53303,70+ years,2015
1400,4518,2037,2481,70+ years,2015
1505,9,6,3,70+ years,2015
1520,717053,355560,361493,70+ years,2015
1600,142705,85534,57171,70+ years,2015
0,3058105,1679009,1379096,0-28 days,2010
20,149301,81254,68047,0-28 days,2010
380,197505,108758,88747,0-28 days,2010
420,0,0,0,0-28 days,2010
490,2365706,1298249,1067457,0-28 days,2010
540,0,0,0,0-28 days,2010
610,598,320,278,0-28 days,2010
790,10,6,4,0-28 days,2010
800,36,25,11,0-28 days,2010
810,1107,614,493,0-28 days,2010
820,0,0,0,0-28 days,2010
940,10,5,5,0-28 days,2010
1100,1281,717,564,0-28 days,2010
1170,0,0,0,0-28 days,2010
1210,1126,646,480,0-28 days,2010
1260,183,110,73,0-28 days,2010
1330,0,0,0,0-28 days,2010
1340,0,0,0,0-28 days,2010
1400,303374,167420,135954,0-28 days,2010
1505,754,413,341,0-28 days,2010
1520,36224,20168,16056,0-28 days,2010
1600,890,304,586,0-28 days,2010
0,3883938,2045417,1838521,1-59 months,2010
20,1880221,969047,911174,1-59 months,2010
380,932362,501577,430785,1-59 months,2010
420,0,0,0,1-59 months,2010
490,183897,101434,82463,1-59 months,2010
540,110411,58574,51837,1-59 months,2010
610,30304,16487,13817,1-59 months,2010
790,280,149,131,1-59 months,2010
800,3075,1643,1432,1-59 months,2010
810,34510,17994,16516,1-59 months,2010
820,10,10,0,1-59 months,2010
940,19231,10675,8556,1-59 months,2010
1100,34472,17884,16588,1-59 months,2010
1170,13990,6642,7348,1-59 months,2010
1210,42221,22827,19394,1-59 months,2010
1260,19189,9618,9571,1-59 months,2010
1330,5091,1839,3252,1-59 months,2010
1340,0,0,0,1-59 months,2010
1400,210803,115503,95300,1-59 months,2010
1505,35516,19857,15659,1-59 months,2010
1520,311584,165551,146033,1-59 months,2010
1600,16771,8106,8665,1-59 months,2010
0,1077000,576709,500291,5-14 years,2010
20,508244,255546,252698,5-14 years,2010
380,66851,32300,34551,5-14 years,2010
420,0,0,0,5-14 years,2010
490,94,59,35,5-14 years,2010
540,17120,7546,9574,5-14 years,2010
610,43324,24191,19133,5-14 years,2010
790,841,445,396,5-14 years,2010
800,2905,1242,1663,5-14 years,2010
810,20785,10637,10148,5-14 years,2010
820,126,96,30,5-14 years,2010
940,16102,8736,7366,5-14 years,2010
1100,24934,12672,12262,5-14 years,2010
1170,9463,4510,4953,5-14 years,2010
1210,28020,15065,12955,5-14 years,2010
1260,13914,7268,6646,5-14 years,2010
1330,903,406,497,5-14 years,2010
1340,1151,398,753,5-14 years,2010
1400,32976,16578,16398,5-14 years,2010
1505,0,0,0,5-14 years,2010
1520,258483,160740,97743,5-14 years,2010
1600,30751,18269,12482,5-14 years,2010
0,2408343,1462460,945883,15-29 years,2010
20,633928,323514,310414,15-29 years,2010
