country,sum_pop,male,female,year
Papua New Guinea,8108000,4134000,3973000,2015
Paraguay,6689000,3404000,3285000,2015
Peru,30471000,15133000,15337000,2015
Philippines,102113000,51389000,50724000,2015
Poland,38034000,18435000,19599000,2015
Portugal,10368000,4910000,5458000,2015
Qatar,2566000,1950000,615000,2015
Republic of Korea,50823000,25466000,25357000,2015
Republic of Moldova,4071000,1956000,2114000,2015
Romania,19925000,9700000,10225000,2015
Russian Federation,144985000,67171000,77814000,2015
Rwanda,11369000,5583000,5786000,2015
Saint Lucia,179000,88000,91000,2015
Saint Vincent and the Grenadines,109000,56000,54000,2015
Samoa,194000,100000,93000,2015
Sao Tome and Principe,199000,100000,100000,2015
Saudi Arabia,31718000,18041000,13677000,2015
Senegal,14578000,7089000,7489000,2015
Serbia,8877000,4351000,4526000,2015
Seychelles,95000,49000,46000,2015
Sierra Leone,7172000,3574000,3598000,2015
Singapore,5592000,2926000,2666000,2015
Slovakia,5436000,2641000,2794000,2015
Slovenia,2071000,1029000,1042000,2015
Solomon Islands,603000,307000,297000,2015
Somalia,13797000,6883000,6914000,2015
South Africa,55386000,27337000,28049000,2015
South Sudan,10716000,5360000,5355000,2015
Spain,46672000,22916000,23756000,2015
Sri Lanka,20908000,10078000,10830000,2015
Sudan,38903000,19425000,19478000,2015
Suriname,559000,281000,278000,2015
Sweden,9765000,4881000,4884000,2015
Switzerland,8297000,4106000,4191000,2015
Syrian Arab Republic,17997000,9066000,8931000,2015
Tajikistan,8454000,4265000,4189000,2015
Thailand,68715000,33559000,35155000,2015
Timor-Leste,1196000,605000,592000,2015
Togo,7323000,3639000,3685000,2015
Tonga,101000,50000,50000,2015
Trinidad and Tobago,1370000,678000,693000,2015
Tunisia,11180000,5542000,5638000,2015
Turkey,78529000,38650000,39879000,2015
Turkmenistan,5565000,2740000,2825000,2015
Uganda,38225000,18776000,19450000,2015
Ukraine,44922000,20782000,24140000,2015
United Arab Emirates,9263000,6521000,2742000,2015
United Kingdom,65860000,32461000,33399000,2015
United Republic of Tanzania,51483000,25696000,25787000,2015
United States of America,320878000,158712000,162166000,2015
Uruguay,3412000,1646000,1766000,2015
Uzbekistan,30930000,15407000,15523000,2015
Vanuatu,271000,138000,134000,2015
Venezuela (Bolivarian Republic of),30082000,14953000,15129000,2015
Viet Nam,92677000,46197000,46480000,2015
Yemen,26498000,13356000,13142000,2015
Zambia,15879000,7857000,8022000,2015
Zimbabwe,13815000,6569000,7246000,2015
Côte d'Ivoire,16455000,8479000,7976000,2000
Albania,2881000,1467000,1414000,2019
Algeria,43053000,21750000,21303000,2019
Côte d'Ivoire,20533000,10427000,10106000,2010
Antigua and Barbuda,97000,47000,50000,2019
Argentina,44781000,21841000,22939000,2019
Armenia,2958000,1391000,1566000,2019
Australia,25203000,12551000,12652000,2019
Austria,8955000,4409000,4546000,2019
Azerbaijan,10048000,5016000,5032000,2019
Bahamas,389000,189000,200000,2019
Bahrain,1641000,1055000,586000,2019
Bangladesh,163046000,82474000,80572000,2019
Barbados,287000,139000,148000,2019
Belarus,9452000,4400000,5052000,2019
Belgium,11539000,5711000,5828000,2019
Belize,390000,194000,196000,2019
Benin,11801000,5891000,5910000,2019
Bhutan,763000,405000,358000,2019
Bolivia (Plurinational State of),11513000,5780000,5733000,2019
Bosnia and Herzegovina,3301000,1617000,1684000,2019
Botswana,2304000,1114000,1190000,2019
Brazil,211050000,103733000,107316000,2019
Brunei Darussalam,433000,225000,208000,2019
Bulgaria,7000000,3400000,3600000,2019
Burkina Faso,20321000,10148000,10174000,2019
Côte d'Ivoire,23226000,11747000,11479000,2015
Cabo Verde,550000,276000,274000,2019
Cambodia,16487000,8047000,8439000,2019
Cameroon,25876000,12940000,12936000,2019
Canada,37411000,18564000,18848000,2019
Central African Republic,4745000,2352000,2393000,2019
Chad,15947000,7961000,7986000,2019
Chile,18952000,9342000,9610000,2019
China,1441860000,739350000,702510000,2019
Colombia,50339000,24713000,25626000,2019
Comoros,851000,429000,422000,2019
Congo,5381000,2687000,2693000,2019
Costa Rica,5048000,2523000,2525000,2019
Côte d'Ivoire,25717000,12974000,12742000,2019
Croatia,4130000,1990000,2140000,2019
Cuba,11333000,5628000,5706000,2019
Cyprus,1199000,599000,599000,2019
Czechia,10689000,5261000,5429000,2019
Democratic People's Republic of Korea,25666000,12553000,13113000,2019
Democratic Republic of the Congo,86791000,43319000,43471000,2019
Denmark,5772000,2870000,2902000,2019
Djibouti,974000,512000,462000,2019
Dominican Republic,10739000,5366000,5373000,2019
Ecuador,17374000,8690000,8683000,2019
Egypt,100388000,50723000,49665000,2019
El Salvador,6454000,3023000,3430000,2019
Equatorial Guinea,1356000,754000,602000,2019
Eritrea,3497000,1753000,1744000,2019
Estonia,1326000,627000,699000,2019
Eswatini,1148000,563000,585000,2019
Ethiopia,112079000,56069000,56010000,2019
Fiji,890000,451000,439000,2019
Finland,5532000,2727000,2805000,2019
France,65130000,31524000,33605000,2019
Gabon,2173000,1106000,1066000,2019
Gambia,2348000,1164000,1183000,2019
Georgia,3997000,1906000,2091000,2019
Germany,83517000,41249000,42268000,2019
Ghana,30418000,15416000,15002000,2019
Greece,10473000,5141000,5333000,2019
Grenada,112000,56000,56000,2019
Guatemala,17581000,8660000,8922000,2019
Guinea,12771000,6166000,6605000,2019
Guinea-Bissau,1921000,939000,982000,2019
Guyana,783000,393000,390000,2019
Haiti,11263000,5558000,5705000,2019
Honduras,9746000,4869000,4877000,2019
Hungary,9685000,4608000,5076000,2019
Iceland,339000,170000,169000,2019
India,1366418000,710130000,656288000,2019
Indonesia,270626000,136270000,134356000,2019
Iran (Islamic Republic of),82914000,41890000,41024000,2019
Iraq,39310000,19892000,19418000,2019
Ireland,4882000,2422000,2460000,2019
Israel,8519000,4237000,4282000,2019
Italy,60550000,29461000,31089000,2019
Jamaica,2948000,1464000,1485000,2019
Japan,126860000,61950000,64910000,2019
Jordan,10102000,5113000,4988000,2019
Kazakhstan,18551000,9000000,9552000,2019
Kenya,52574000,26122000,26452000,2019
Kiribati,118000,58000,60000,2019
Kuwait,4207000,2563000,1644000,2019
Kyrgyzstan,6416000,3174000,3242000,2019
Lao People's Democratic Republic,7169000,3599000,3570000,2019
Latvia,1907000,878000,1029000,2019
Lebanon,6856000,3449000,3406000,2019
Lesotho,2125000,1048000,1077000,2019
Liberia,4937000,2481000,2456000,2019
Libya,6777000,3423000,3355000,2019
Lithuania,2760000,1276000,1483000,2019
Luxembourg,616000,311000,305000,2019
