country,cause_id,d_bothsex,d_male,d_female,year
Nigeria,800,22500,11500,11000,2019
Nigeria,810,15800,6200,9600,2019
Nigeria,820,7300,6300,1000,2019
Nigeria,940,16300,8500,7800,2019
Nigeria,1100,146600,69100,77500,2019
Nigeria,1170,22400,12000,10400,2019
Nigeria,1210,66700,42300,24300,2019
Nigeria,1260,21900,12200,9600,2019
Nigeria,1330,1500,700,800,2019
Nigeria,1340,800,200,600,2019
Nigeria,1400,49700,27500,22200,2019
Nigeria,1505,4000,2400,1600,2019
Nigeria,1520,97800,60000,37800,2019
Nigeria,1600,28700,20700,7900,2019
Afghanistan,0,254800,126900,127900,2019
Afghanistan,20,28900,14700,14200,2019
Afghanistan,380,14700,7900,6800,2019
Afghanistan,420,7800,0,7800,2019
Afghanistan,490,31900,17500,14400,2019
Afghanistan,540,600,200,400,2019
Afghanistan,610,15600,7800,7800,2019
Afghanistan,790,0,0,0,2019
Afghanistan,800,5700,1500,4200,2019
Afghanistan,810,1400,700,700,2019
Afghanistan,820,500,300,200,2019
Afghanistan,940,3600,1800,1800,2019
Afghanistan,1100,71300,33800,37500,2019
Afghanistan,1170,8300,3900,4400,2019
Afghanistan,1210,8000,4100,3900,2019
Afghanistan,1260,6800,3200,3600,2019
Afghanistan,1330,100,0,0,2019
Afghanistan,1340,200,100,100,2019
Afghanistan,1400,5000,2700,2300,2019
Afghanistan,1505,400,200,200,2019
Afghanistan,1520,13600,10100,3500,2019
Afghanistan,1600,30400,16300,14100,2019
Central African Republic,0,56700,31000,25800,2019
Central African Republic,20,20700,11400,9300,2019
Central African Republic,380,5300,3000,2200,2019
Central African Republic,420,1200,0,1200,2019
Central African Republic,490,5700,3100,2500,2019
Central African Republic,540,700,400,300,2019
Central African Republic,610,1900,700,1100,2019
Central African Republic,790,0,0,0,2019
Central African Republic,800,1100,700,500,2019
Central African Republic,810,400,300,100,2019
Central African Republic,820,100,100,0,2019
Central African Republic,940,400,200,200,2019
Central African Republic,1100,8300,4000,4300,2019
Central African Republic,1170,1800,900,900,2019
Central African Republic,1210,2300,1500,800,2019
Central African Republic,1260,900,600,300,2019
Central African Republic,1330,0,0,0,2019
Central African Republic,1340,0,0,0,2019
Central African Republic,1400,800,400,300,2019
Central African Republic,1505,100,0,0,2019
Central African Republic,1520,3200,2200,1000,2019
Central African Republic,1600,1900,1500,400,2019
Burundi,0,76800,41600,35200,2019
Burundi,20,18900,10200,8600,2019
Burundi,380,8000,4300,3700,2019
Burundi,420,1300,0,1300,2019
Burundi,490,8600,4900,3700,2019
Burundi,540,2600,1400,1100,2019
Burundi,610,6400,2700,3700,2019
Burundi,790,0,0,0,2019
Burundi,800,1400,700,600,2019
Burundi,810,300,100,100,2019
Burundi,820,100,100,0,2019
Burundi,940,800,400,400,2019
Burundi,1100,10200,5200,5000,2019
Burundi,1170,2300,1200,1100,2019
Burundi,1210,3400,2200,1200,2019
Burundi,1260,1300,700,500,2019
Burundi,1330,100,0,100,2019
Burundi,1340,0,0,0,2019
Burundi,1400,1800,1000,800,2019
Burundi,1505,200,100,100,2019
Burundi,1520,7700,5100,2600,2019
Burundi,1600,1600,1200,400,2019
Ethiopia,0,627100,339500,287600,2019
Ethiopia,20,122000,66200,55800,2019
Ethiopia,380,60700,34400,26300,2019
Ethiopia,420,8900,0,8900,2019
Ethiopia,490,79300,46200,33200,2019
Ethiopia,540,9100,4400,4700,2019
Ethiopia,610,50000,17400,32600,2019
Ethiopia,790,100,100,100,2019
Ethiopia,800,16300,9300,6900,2019
